日期,液氯华北
2014-01-02,200.0
2014-01-03,200.0
2014-01-06,200.0
2014-01-07,200.0
2014-01-08,200.0
2014-01-09,200.0
2014-01-10,200.0
2014-01-13,200.0
2014-01-14,200.0
2014-01-15,200.0
2014-01-16,200.0
2014-01-17,200.0
2014-01-20,100.0
2014-01-21,100.0
2014-01-22,100.0
2014-01-23,100.0
2014-01-24,100.0
2014-01-27,100.0
2014-01-28,100.0
2014-01-29,100.0
2014-01-30,100.0
2014-02-07,100.0
2014-02-10,100.0
2014-02-11,100.0
2014-02-12,200.0
2014-02-13,100.0
2014-02-14,100.0
2014-02-17,100.0
2014-02-18,100.0
2014-02-19,100.0
2014-02-20,100.0
2014-02-21,100.0
2014-02-24,100.0
2014-02-25,100.0
2014-02-26,200.0
2014-02-27,200.0
2014-02-28,200.0
2014-03-03,200.0
2014-03-04,200.0
2014-03-05,200.0
2014-03-06,200.0
2014-03-07,200.0
2014-03-10,200.0
2014-03-11,200.0
2014-03-12,200.0
2014-03-13,200.0
2014-03-14,300.0
2014-03-17,400.0
2014-03-18,400.0
2014-03-19,400.0
2014-03-20,500.0
2014-03-21,500.0
2014-03-24,500.0
2014-03-25,500.0
2014-03-26,500.0
2014-03-27,500.0
2014-03-28,500.0
2014-03-31,500.0
2014-04-01,500.0
2014-04-02,500.0
2014-04-03,500.0
2014-04-04,400.0
2014-04-08,600.0
2014-04-09,600.0
2014-04-10,600.0
2014-04-11,600.0
2014-04-14,600.0
2014-04-15,600.0
2014-04-16,600.0
2014-04-17,600.0
2014-04-18,600.0
2014-04-21,600.0
2014-04-22,600.0
2014-04-23,600.0
2014-04-24,600.0
2014-04-25,600.0
2014-04-28,600.0
2014-04-29,700.0
2014-04-30,700.0
2014-05-05,700.0
2014-05-06,700.0
2014-05-07,700.0
2014-05-08,700.0
2014-05-09,700.0
2014-05-12,700.0
2014-05-13,700.0
2014-05-14,700.0
2014-05-15,800.0
2014-05-16,800.0
2014-05-19,800.0
2014-05-20,800.0
2014-05-21,800.0
2014-05-22,800.0
2014-05-23,800.0
2014-05-26,800.0
2014-05-27,800.0
2014-05-28,800.0
2014-05-29,800.0
2014-05-30,800.0
2014-06-03,700.0
2014-06-04,700.0
2014-06-05,700.0
2014-06-06,700.0
2014-06-09,700.0
2014-06-10,700.0
2014-06-11,700.0
2014-06-12,700.0
2014-06-13,700.0
2014-06-16,700.0
2014-06-17,700.0
2014-06-18,700.0
2014-06-19,600.0
2014-06-20,600.0
2014-06-23,600.0
2014-06-24,500.0
2014-06-25,500.0
2014-06-26,500.0
